"phone","province","city"
"861900480","内蒙古","呼伦贝尔"
"861900481","内蒙古","呼和浩特"
"861900482","内蒙古","包头"
"861900483","内蒙古","赤峰"
"861900484","内蒙古","赤峰"
"861900485","内蒙古","通辽"
"861900486","内蒙古","赤峰"
"861900487","内蒙古","鄂尔多斯"
"861900488","内蒙古","巴彦淖尔"
"861900489","内蒙古","锡林郭勒"
"861900500","福建","福州"
"861900501","福建","福州"
"861900502","福建","厦门"
"861900503","福建","泉州"
"861900504","福建","泉州"
"861900505","福建","福州"
"861900506","福建","漳州"
"861900507","福建","南平"
"861900508","福建","南平"
"861900509","福建","南平"
"861900510","江苏","盐城"
"861900511","江苏","镇江"
"861900512","江苏","苏州"
"861900513","江苏","南通"
"861900514","江苏","扬州"
"861900515","江苏","盐城"
"861900516","江苏","徐州"
"861900517","江苏","淮安"
"861900518","江苏","连云港"
"861900519","江苏","常州"
"861900520","江苏","徐州"
"861900521","江苏","徐州"
"861900522","江苏","徐州"
"861900523","江苏","淮安"
"861900524","江苏","无锡"
"861900525","江苏","扬州"
"861900526","江苏","泰州"
"861900527","江苏","扬州"
"861900528","江苏","宿迁"
"861900529","江苏","宿迁"
"861900530","山东","菏泽"
"861900531","山东","济南"
"861900532","山东","青岛"
"861900533","山东","淄博"
"861900534","山东","德州"
"861900535","山东","烟台"
"861900536","山东","潍坊"
"861900537","山东","济宁"
"861900538","山东","泰安"
"861900539","山东","临沂"
"861900540","山东","菏泽"
"861900541","山东","济南"
"861900542","山东","青岛"
"861900543","山东","滨州"
"861900544","山东","威海"
"861900545","山东","烟台"
"861900546","山东","东营"
"861900547","山东","济宁"
"861900548","山东","泰安"
"861900549","山东","临沂"
"861900550","安徽","滁州"
"861900551","安徽","合肥"
"861900552","安徽","蚌埠"
"861900553","安徽","芜湖"
"861900554","安徽","淮南"
"861900555","安徽","马鞍山"
"861900556","安徽","安庆"
"861900557","安徽","宿州"
"861900558","安徽","阜阳"
"861900559","安徽","黄山"
"861900560","安徽","合肥"
"861900561","安徽","淮北"
"861900562","安徽","铜陵"
"861900563","安徽","宣城"
"861900564","安徽","六安"
"861900565","安徽","合肥"
"861900566","安徽","池州"
"861900567","安徽","亳州"
"861900568","安徽","阜阳"
"861900569","安徽","合肥"
"861900570","浙江","衢州"
"861900571","浙江","杭州"
"861900572","浙江","湖州"
"861900573","浙江","嘉兴"
"861900574","浙江","宁波"
"861900575","浙江","绍兴"
"861900576","浙江","台州"
"861900577","浙江","温州"
"861900578","浙江","丽水"
"861900579","浙江","金华"
"861900580","浙江","舟山"
"861900581","浙江","杭州"
"861900582","浙江","湖州"
"861900583","浙江","嘉兴"
"861900584","浙江","宁波"
"861900585","浙江","绍兴"
"861900586","浙江","台州"
"861900587","浙江","温州"
"861900588","浙江","丽水"
"861900589","浙江","金华"
"861900590","福建","泉州"
"861900591","福建","福州"
"861900592","福建","厦门"
"861900593","福建","宁德"
"861900594","福建","莆田"
"861900595","福建","泉州"
"861900596","福建","漳州"
"861900597","福建","龙岩"
"861900598","福建","三明"
"861900599","福建","南平"
"861900600","内蒙古","呼和浩特"
"861900601","内蒙古","呼和浩特"
"861900602","内蒙古","兴安"
"861900603","内蒙古","阿拉善"
"861900604","内蒙古","乌兰察布"
"861900605","内蒙古","赤峰"
"861900606","内蒙古","通辽"
"861900607","内蒙古","鄂尔多斯"
"861900608","内蒙古","巴彦淖尔"
"861900609","内蒙古","呼伦贝尔"
"861900610","内蒙古","呼伦贝尔"
"861900611","内蒙古","赤峰"
"861900612","内蒙古","包头"
"861900613","内蒙古","乌海"
"861900614","内蒙古","赤峰"
"861900615","内蒙古","通辽"
"861900616","内蒙古","赤峰"
"861900617","内蒙古","赤峰"
"861900618","内蒙古","赤峰"
"861900619","内蒙古","锡林郭勒"
"861900630","山东","威海"
"861900631","山东","威海"
"861900632","山东","枣庄"
"861900633","山东","日照"
"861900634","山东","济南"
"861900635","山东","聊城"
"861900636","山东","潍坊"
"861900637","山东","济宁"
"861900638","山东","泰安"
"861900639","山东","临沂"
"861900640","山东","菏泽"
"861900641","山东","济南"
"861900642","山东","青岛"
"861900643","山东","淄博"
"861900644","山东","烟台"
"861900645","山东","聊城"
"861900646","山东","潍坊"
"861900647","山东","济宁"
"861900648","山东","泰安"
"86190064","山东","临沂"
"861900659","山东","临沂"
"861900660","广东","深圳"
"861900661","广东","深圳"
"861900662","广东","阳江"
"861900663","广东","揭阳"
"861900664","广东","深圳"
"861900665","广东","深圳"
"861900667","广东","深圳"
"861900668","广东","茂名"
"861900669","广东","深圳"
"861900690","云南","保山"
"861900691","云南","西双版纳"
"861900692","云南","德宏"
"861900693","云南","保山"
"861900694","云南","玉溪"
"861900695","云南","玉溪"
"861900696","云南","红河"
"861900697","云南","红河"
"861900698","云南","曲靖"
"861900699","云南","红河"
"861900700","江西","鹰潭"
"861900701","江西","鹰潭"
"861900702","江西","鹰潭"
"861900703","江西","鹰潭"
"861900704","江西","鹰潭"
"861900705","江西","鹰潭"
"861900706","江西","鹰潭"
"861900707","江西","抚州"
"861900708","江西","抚州"
"861900709","江西","萍乡"
"861900710","湖北","襄阳"
"861900711","湖北","鄂州"
"861900712","湖北","孝感"
"861900713","湖北","黄冈"
"861900714","湖北","黄石"
"861900715","湖北","咸宁"
"861900716","湖北","荆州"
"861900717","湖北","宜昌"
"861900718","湖北","恩施"
"861900719","湖北","十堰"
"861900720","湖北","十堰"
"861900721","湖北","随州"
"861900722","湖北","随州"
"861900723","湖北","荆门"
"861900724","湖北","荆门"
"861900725","湖北","荆门"
"861900726","湖北","十堰"
"861900727","湖北","仙桃/潜江/天门"
"861900728","湖北","仙桃/潜江/天门"
"861900729","湖北","仙桃/潜江/天门"
"861900730","湖南","岳阳"
"861900731","湖南","长沙"
"861900732","湖南","湘潭"
"861900733","湖南","株洲"
"861900734","湖南","衡阳"
"861900735","湖南","郴州"
"861900736","湖南","常德"
"861900737","湖南","益阳"
"861900738","湖南","娄底"
"861900739","湖南","邵阳"
"861900740","湖南","怀化"
"861900741","湖南","邵阳"
"861900742","湖南","常德"
"861900743","湖南","吉首"
"861900744","湖南","张家界"
"861900745","湖南","怀化"
"861900746","湖南","永州"
"861900747","湖南","株洲"
"861900748","湖南","株洲"
"861900749","湖南","常德"
"861900750","广东","江门"
"861900751","广东","韶关"
"861900752","广东","惠州"
"861900753","广东","梅州"
"861900754","广东","汕头"
"861900755","广东","深圳"
"861900756","广东","深圳"
"861900757","广东","佛山"
"861900758","广东","肇庆"
"861900759","广东","湛江"
"861900760","广东","中山"
"861900761","广东","中山"
"861900762","广东","河源"
"861900763","广东","清远"
"861900764","广东","清远"
"861900765","广东","清远"
"861900766","广东","云浮"
"861900767","广东","梅州"
"861900768","广东","梅州"
"861900769","广东","中山"
"861900770","广西","防城港"
"861900771","广西","南宁"
"861900772","广西","柳州"
"861900773","广西","桂林"
"861900774","广西","梧州"
"861900775","广西","玉林"
"861900776","广西","百色"
"861900777","广西","钦州"
"861900778","广西","河池"
"861900779","广西","北海"
"86190078","广西","梧州"
"861900790","江西","新余"
"861900791","江西","南昌"
"861900792","江西","九江"
"861900793","江西","上饶"
"861900794","江西","抚州"
"861900795","江西","宜春"
"861900796","江西","吉安"
"861900797","江西","赣州"
"861900798","江西","景德镇"
"861900799","江西","萍乡"
"861900800","四川","绵阳"
"861900801","四川","成都"
"861900802","四川","成都"
"861900803","四川","泸州"
"861900804","四川","内江"
"861900805","四川","内江"
"861900806","四川","广元"
"861900807","四川","宜宾"
"861900808","四川","成都"
"861900809","四川","成都"
"861900810","四川","德阳"
"861900811","四川","绵阳"
"861900812","四川","攀枝花"
"861900813","四川","自贡"
"861900814","四川","德阳"
"861900815","四川","凉山"
"861900816","四川","绵阳"
"861900817","四川","南充"
"861900818","四川","达州"
"861900819","四川","成都"
"861900820","四川","成都"
"861900821","四川","成都"
"861900822","四川","成都"
"861900823","四川","成都"
"861900824","四川","达州"
"861900825","四川","遂宁"
"861900826","四川","广安"
"861900827","四川","巴中"
"861900828","四川","达州"
"861900829","四川","巴中"
"861900830","四川","泸州"
"861900831","四川","宜宾"
"861900832","四川","内江"
"861900833","四川","乐山"
"861900834","四川","凉山"
"861900835","四川","雅安"
"861900836","四川","甘孜"
"861900837","四川","阿坝"
"861900838","四川","德阳"
"861900839","四川","广元"
"861900850","贵州","贵阳"
"861900851","贵州","贵阳"
"861900852","贵州","遵义"
"861900853","贵州","安顺"
"861900854","贵州","黔南"
"861900855","贵州","黔东南"
"861900856","贵州","铜仁"
"861900857","贵州","毕节"
"861900858","贵州","六盘水"
"861900859","贵州","黔西南"
"861900860","湖北","襄阳"
"861900861","湖北","襄阳"
"861900862","湖北","黄石"
"861900863","湖北","黄石"
"861900864","湖北","荆州"
"861900865","湖北","荆州"
"861900866","湖北","仙桃/潜江/天门"
"861900867","湖北","仙桃/潜江/天门"
"861900868","湖北","仙桃/潜江/天门"
"861900869","湖北","荆门"
"861900870","云南","昭通"
"861900871","云南","昆明"
"861900872","云南","大理"
"861900873","云南","红河"
"861900874","云南","曲靖"
"861900875","云南","保山"
"861900876","云南","文山"
"861900877","云南","玉溪"
"861900878","云南","楚雄"
"861900879","云南","普洱"
"861900880","云南","昭通"
"861900881","云南","西双版纳"
"861900882","云南","德宏"
"861900883","云南","临沧"
"861900884","云南","曲靖"
"861900885","云南","保山"
"861900886","云南","怒江"
"861900887","云南","迪庆"
"861900888","云南","丽江"
"861900889","云南","玉溪"
"861900890","西藏","拉萨"
"861900891","西藏","拉萨"
"861900892","西藏","日喀则"
"861900893","西藏","山南"
"861900894","西藏","林芝"
"861900895","西藏","昌都"
"861900896","西藏","那曲"
"861900897","西藏","阿里"
"861900898","西藏","拉萨"
"861900899","西藏","拉萨"
"861900900","新疆","阿勒泰"
"861900901","新疆","塔城"
"861900902","新疆","哈密"
"861900903","新疆","和田"
"861900904","新疆","石河子"
"861900905","新疆","阿勒泰"
"861900906","新疆","阿勒泰"
"861900907","新疆","阿勒泰"
"861900908","新疆","克孜勒苏"
"861900909","新疆","博乐"
"861900910","陕西","咸阳"
"861900911","陕西","延安"
"861900912","陕西","榆林"
"861900913","陕西","渭南"
"861900914","陕西","商洛"
"861900915","陕西","安康"
"861900916","陕西","汉中"
"861900917","陕西","宝鸡"
"861900918","陕西","宝鸡"
"861900919","陕西","铜川"
"861900920","陕西","西安"
"861900921","陕西","西安"
"861900922","陕西","西安"
"861900923","陕西","西安"
"861900924","陕西","汉中"
"861900925","陕西","汉中"
"861900926","陕西","汉中"
"861900927","陕西","汉中"
"861900928","陕西","安康"
"861900929","陕西","延安"
"861900930","甘肃","临夏"
"861900931","甘肃","兰州"
"861900932","甘肃","定西"
"861900933","甘肃","平凉"
"861900934","甘肃","庆阳"
"861900935","甘肃","武威"
"861900936","甘肃","张掖"
"861900937","甘肃","酒泉"
"861900938","甘肃","天水"
"861900939","甘肃","陇南"
"861900940","甘肃","嘉峪关"
"861900941","甘肃","甘南"
"861900942","甘肃","甘南"
"861900943","甘肃","白银"
"861900944","甘肃","白银"
"861900945","甘肃","金昌"
"861900946","甘肃","金昌"
"861900947","甘肃","嘉峪关"
"861900948","甘肃","嘉峪关"
"861900949","甘肃","白银"
"861900950","宁夏","银川"
"861900951","宁夏","银川"
"861900952","宁夏","石嘴山"
"861900953","宁夏","吴忠"
"861900954","宁夏","固原"
"861900955","宁夏","中卫"
"861900956","宁夏","固原"
"861900957","宁夏","吴忠"
"861900958","宁夏","银川"
"861900959","宁夏","固原"
"861900966","青海","海南"
"861900967","青海","海东"
"861900968","青海","西宁"
"861900969","青海","海东"
"861900970","青海","海北"
"861900971","青海","西宁"
"861900972","青海","海东"
"861900973","青海","黄南"
"861900974","青海","海南"
"861900975","青海","果洛"
"861900976","青海","玉树"
"861900977","青海","海西"
"861900978","青海","西宁"
"861900979","青海","格尔木"
"861900980","辽宁","铁岭"
"861900981","辽宁","朝阳"
"861900982","辽宁","沈阳"
"861900983","辽宁","沈阳"
"861900984","辽宁","葫芦岛"
"861900985","辽宁","大连"
"861900986","辽宁","大连"
"861900987","辽宁","盘锦"
"861900988","辽宁","沈阳"
"861900989","辽宁","葫芦岛"
"861900990","新疆","克拉玛依"
"861900991","新疆","乌鲁木齐"
"861900992","新疆","奎屯"
"861900993","新疆","石河子"
"861900994","新疆","昌吉"
"861900995","新疆","吐鲁番"
"861900996","新疆","巴音郭楞"
"861900997","新疆","阿克苏"
"861900998","新疆","喀什"
"861900999","新疆","伊犁"
"86190112","浙江","杭州"
"861901130","安徽","合肥"
"861901131","安徽","合肥"
"861901132","安徽","合肥"
"861901133","安徽","蚌埠"
"861901134","安徽","合肥"
"861901135","安徽","蚌埠"
"861901136","安徽","芜湖"
"861901137","安徽","芜湖"
"861901138","安徽","芜湖"
"861901139","安徽","芜湖"
"861901140","山东","青岛"
"861901141","山东","青岛"
"861901142","山东","青岛"
"861901143","山东","滨州"
"861901144","山东","滨州"
"861901145","山东","临沂"
"861901146","山东","临沂"
"861901147","山东","临沂"
"861901148","山东","临沂"
"861901149","山东","临沂"
"861901150","山东","潍坊"
"861901151","山东","潍坊"
"861901152","山东","潍坊"
"861901153","山东","潍坊"
"861901154","山东","潍坊"
"861901155","山东","淄博"
"861901156","山东","淄博"
"861901157","山东","淄博"
"861901158","山东","青岛"
"861901159","山东","青岛"
"861901160","山东","聊城"
"861901161","山东","聊城"
"861901162","山东","聊城"
"861901163","山东","聊城"
"861901164","山东","聊城"
"861901165","山东","聊城"
"861901166","山东","日照"
"861901167","山东","日照"
"861901168","山东","临沂"
"861901169","山东","临沂"
"861901170","贵州","贵阳"
"861901171","贵州","贵阳"
"861901172","贵州","贵阳"
"861901173","贵州","贵阳"
"861901174","贵州","贵阳"
"861901175","贵州","贵阳"
"861901176","贵州","遵义"
"861901177","贵州","遵义"
"861901178","贵州","遵义"
"861901179","贵州","遵义"
"86190120","重庆","重庆"
"86190121","重庆","重庆"
"86190122","重庆","重庆"
"86190123","重庆","重庆"
"86190124","重庆","重庆"
"861901250","安徽","芜湖"
"861901251","安徽","芜湖"
"861901252","安徽","芜湖"
"861901253","安徽","芜湖"
"861901254","安徽","滁州"
"861901255","安徽","芜湖"
"861901256","安徽","芜湖"
"861901257","安徽","淮南"
"861901258","安徽","淮南"
"861901259","安徽","淮南"
"861901260","安徽","淮南"
"861901261","安徽","马鞍山"
"861901262","安徽","马鞍山"
"861901263","安徽","马鞍山"
"861901264","安徽","淮北"
"861901265","安徽","马鞍山"
"861901266","安徽","马鞍山"
"861901267","安徽","安庆"
"861901268","安徽","安庆"
"861901269","安徽","安庆"
"86190127","浙江","杭州"
"86190128","浙江","杭州"
"86190129","浙江","宁波"
"861901300","四川","泸州"
"861901301","四川","泸州"
"861901302","四川","泸州"
"861901303","四川","泸州"
"861901304","四川","泸州"
"861901305","四川","泸州"
"861901306","四川","资阳"
"861901307","四川","乐山"
"861901308","四川","宜宾"
"861901309","四川","乐山"
"861901310","四川","眉山"
"861901311","四川","眉山"
"861901312","四川","眉山"
"861901313","四川","眉山"
"861901314","四川","眉山"
"86190131","四川","成都"
"861901325","四川","成都"
"861901326","四川","成都"
"861901327","四川","成都"
"861901328","四川","成都"
"861901329","四川","成都"
"861901330","四川","南充"
"861901331","四川","南充"
"861901332","四川","南充"
"861901333","四川","南充"
"861901334","四川","南充"
"861901335","四川","南充"
"861901336","四川","南充"
"861901337","四川","达州"
"861901338","四川","凉山"
"861901339","四川","凉山"
"861901340","四川","绵阳"
"861901341","四川","南充"
"861901342","四川","宜宾"
"861901343","四川","达州"
"861901344","四川","内江"
"861901345","四川","巴中"
"861901346","四川","自贡"
"861901347","四川","广元"
"861901348","四川","甘孜"
"861901349","四川","资阳"
"861901350","四川","巴中"
"861901351","四川","广元"
"861901352","四川","宜宾"
"861901353","四川","内江"
"861901354","四川","雅安"
"861901355","四川","凉山"
"861901356","四川","乐山"
"861901357","四川","德阳"
"861901358","四川","广安"
"861901359","四川","达州"
"861901360","黑龙江","哈尔滨"
"861901361","黑龙江","哈尔滨"
"861901362","黑龙江","齐齐哈尔"
"861901363","黑龙江","齐齐哈尔"
"861901364","黑龙江","齐齐哈尔"
"861901365","黑龙江","绥化"
"861901366","黑龙江","哈尔滨"
"861901367","黑龙江","大庆"
"861901368","黑龙江","绥化"
"861901369","黑龙江","双鸭山"
"861901380","贵州","黔东南"
"861901381","贵州","黔东南"
"861901382","贵州","铜仁"
"861901383","贵州","铜仁"
"861901384","贵州","铜仁"
"861901385","贵州","铜仁"
"861901386","贵州","铜仁"
"861901387","贵州","铜仁"
"861901388","贵州","铜仁"
"861901389","贵州","铜仁"
"861901390","河南","驻马店"
"861901391","河南","焦作"
"861901392","河南","郑州"
"861901393","河南","濮阳"
"861901394","河南","周口"
"861901395","河南","漯河"
"861901396","河南","驻马店"
"861901397","河南","驻马店"
"861901398","河南","驻马店"
"861901399","河南","周口"
"86190140","重庆","重庆"
"861901410","四川","南充"
"861901411","四川","南充"
"861901412","四川","乐山"
"861901413","四川","宜宾"
"861901414","四川","成都"
"861901415","四川","凉山"
"861901416","四川","广元"
"861901417","四川","德阳"
"861901418","四川","达州"
"861901419","四川","阿坝"
"861901420","北京","北京"
"861901430","四川","成都"
"861901431","四川","甘孜"
"861901432","四川","雅安"
"861901433","四川","资阳"
"861901434","四川","自贡"
"861901435","四川","广安"
"861901436","四川","广安"
"861901437","四川","巴中"
"861901438","四川","攀枝花"
"861901439","四川","遂宁"
"861901440","安徽","蚌埠"
"861901441","安徽","芜湖"
"861901442","安徽","芜湖"
"861901443","安徽","芜湖"
"861901444","安徽","芜湖"
"861901445","安徽","芜湖"
"861901446","安徽","芜湖"
"861901447","安徽","淮南"
"861901448","安徽","淮南"
"861901449","安徽","马鞍山"
"861901450","安徽","马鞍山"
"861901451","安徽","安庆"
"861901452","安徽","安庆"
"861901453","安徽","安庆"
"861901454","安徽","宿州"
"861901455","安徽","宿州"
"861901456","安徽","宿州"
"861901457","安徽","宿州"
"861901458","安徽","阜阳"
"861901459","安徽","阜阳"
"861901460","广西","南宁"
"861901461","广西","南宁"
"861901462","广西","来宾"
"861901463","广西","崇左"
"861901464","广西","崇左"
"861901465","广西","崇左"
"861901466","广西","崇左"
"861901467","广西","崇左"
"861901468","广西","崇左"
"861901469","广西","北海"
"861901470","广西","柳州"
"861901471","广西","柳州"
"861901472","广西","柳州"
"861901473","广西","桂林"
"861901474","广西","桂林"
"861901475","广西","桂林"
"861901476","广西","百色"
"861901477","广西","河池"
"861901478","广西","河池"
"861901479","广西","河池"
"861901480","云南","曲靖"
"861901481","云南","曲靖"
"861901482","云南","曲靖"
"861901483","云南","曲靖"
"861901484","云南","曲靖"
"861901485","云南","保山"
"861901486","云南","曲靖"
"861901487","云南","曲靖"
"861901488","云南","曲靖"
"861901489","云南","曲靖"
"861901490","陕西","榆林"
"861901491","陕西","榆林"
"861901492","陕西","榆林"
"861901493","陕西","咸阳"
"861901494","陕西","咸阳"
"861901495","陕西","咸阳"
"861901496","陕西","咸阳"
"861901497","陕西","咸阳"
"861901498","陕西","安康"
"861901499","陕西","安康"
"86190150","湖南","岳阳"
"861901510","湖南","岳阳"
"861901511","湖南","岳阳"
"861901512","湖南","岳阳"
"861901513","湖南","岳阳"
"861901514","湖南","岳阳"
"861901515","湖南","长沙"
"861901516","湖南","衡阳"
"861901517","湖南","衡阳"
"861901518","湖南","衡阳"
"861901519","湖南","衡阳"
"861901520","湖南","衡阳"
"861901521","湖南","邵阳"
"861901522","湖南","邵阳"
"861901523","湖南","邵阳"
"861901524","湖南","邵阳"
"861901525","湖南","邵阳"
"861901526","湖南","邵阳"
"861901527","湖南","邵阳"
"861901528","湖南","邵阳"
"861901529","湖南","邵阳"
"861901530","山东","菏泽"
"861901531","山东","济南"
"861901532","山东","青岛"
"861901533","山东","淄博"
"861901534","山东","德州"
"861901535","山东","烟台"
"861901536","山东","潍坊"
"861901537","山东","济宁"
"861901538","山东","泰安"
"861901539","山东","临沂"
"861901540","山东","菏泽"
"861901541","山东","济南"
"861901542","山东","青岛"
"861901543","山东","滨州"
"861901544","山东","烟台"
"861901545","山东","烟台"
"861901546","山东","东营"
"861901547","山东","济宁"
"861901548","山东","烟台"
"861901549","山东","临沂"
"86190155","广西","玉林"
"86190156","广西","贵港"
"86190157","广西","钦州"
"861901580","湖南","岳阳"
"861901581","湖南","岳阳"
"861901582","湖南","岳阳"
"861901583","湖南","岳阳"
"861901584","湖南","岳阳"
"861901585","湖南","长沙"
"861901586","湖南","长沙"
"861901587","湖南","长沙"
"861901588","湖南","衡阳"
"861901589","湖南","岳阳"
"86190159","湖南","怀化"
"861901600","安徽","安庆"
"861901601","安徽","安庆"
"861901602","安徽","宿州"
"861901603","安徽","宿州"
"861901604","安徽","淮北"
"861901605","安徽","宿州"
"861901606","安徽","宿州"
"861901607","安徽","宿州"
"861901608","安徽","宿州"
"861901609","安徽","阜阳"
"861901610","安徽","阜阳"
"861901611","安徽","阜阳"
"861901612","安徽","阜阳"
"861901613","安徽","阜阳"
"861901614","安徽","铜陵"
"861901615","安徽","阜阳"
"861901616","安徽","阜阳"
"861901617","安徽","阜阳"
"861901618","安徽","阜阳"
"861901619","安徽","阜阳"
"861901620","安徽","阜阳"
"861901621","安徽","阜阳"
"861901622","安徽","亳州"
"861901623","安徽","亳州"
"861901624","安徽","六安"
"861901625","安徽","亳州"
"861901626","安徽","亳州"
"861901627","安徽","亳州"
"861901628","安徽","亳州"
"861901629","安徽","亳州"
"861901630","山东","威海"
"861901631","山东","威海"
"861901632","山东","枣庄"
